name,latitude,longitude
PETER LUGER STEAKHOUSE 178 BROADWAY New York NY 11211,40.7098035,-73.9625213
EMILIO III BAR 4218 JUNCTION BOULEVARD New York NY 11368,40.745683,-73.8682701
BLARNEY CASTLE 202-24 ROCKAWAY POINT BOULEVARD New York NY 11697,40.5595462,-73.9250442
MCALEER'S PUB 425 AMSTERDAM AVENUE New York NY 10024,40.783934,-73.977372
LONDON LENNIES 6388 WOODHAVEN BOULEVARD New York NY 11374,40.7220057,-73.8671909
V & T RESTAURANT 1024 AMSTERDAM AVENUE New York NY 10025,40.8033908,-73.9639209
DESMOND'S TAVERN 433 PARK AVENUE SOUTH New York NY 10016,40.74727,-73.9800645
NAOMI KOSHER PIZZA 6828 MAIN STREET New York NY 11367,40.7336445,-73.825379
ROLL-N-ROASTER 2901 EMMONS AVENUE New York NY 11235,40.5860069,-73.9418603
DANISH ATHLETIC CLUB 735 65 STREET New York NY 11220,40.6385229,-74.0153231
LE PERIGORD 405 EAST 52 STREET New York NY 10022,40.7593941,-73.9697795
O'HARA'S 120 CEDAR STREET New York NY 10006,40.7095273,-74.0126883
MCDONALD'S 1560 BROADWAY New York NY 10036,40.758755,-73.9845905
JARDIN DE CHINA REST 37-37 JUNCTION BOULEVARD New York NY 11368,40.7505307,-73.8701999
BLARNEY STONE 11 TRINITY PLACE New York NY 10006,40.7062029,-74.0137007
IL VAGABONDO RESTAURANT 351 EAST 62 STREET New York NY 10065,40.7645239,-73.9624327
YANKEE CLIPPER 0 LAGUARDIA AIRPORT BLDG New York NY 11371,40.7766392,-73.87425
O'HANLON'S PUB 22-57 31 STREET New York NY 11105,40.7787902,-73.9065883
THE NEW STARLING ATHLETIC CLUB OF THE BRONX 2222 HAVILAND AVENUE New York NY 10462,40.8304811,-73.8497176
SUPERNOVA-NOVOTEL HOTEL 226 WEST 52 ND STREET New York NY 10019,40.7686973,-73.9918181
PORTO BELLO RESTAURANT 208 THOMPSON STREET New York NY 10012,40.7286624,-73.9991998
PETE'S CLAM STOP 1320 SURF AVENUE New York NY 11224,40.5755056,-73.9819659
HOP KEE RESTAURANT 21 MOTT STREET New York NY 10013,40.7143954,-73.9990337
NANCY WHISKEY PUB 1 LISPENARD STREET New York NY 10013,40.720699,-74.0049219
EMERALD PUB 308 SPRING STREET New York NY 10013,40.7258072,-74.0084936
TAP ROOM 180 CENTRAL PARK SOUTH New York NY 10019,40.7665961,-73.9788694
JACKSON HOLE 232 EAST 64 STREET New York NY 10065,40.7645239,-73.9624327
NANCY'S FIRE SIDE 25541 JAMAICA AVENUE New York NY 11001,40.7241318,-73.7250744
MARGHERITA PIZZA 16304 JAMAICA AVENUE New York NY 11432,40.708534,-73.798991
WHITE HORSE TAVERN 567 HUDSON STREET New York NY 10014,40.735663,-74.006195
JOE & PAT'S PIZZERIA 1758 VICTORY BOULEVARD New York NY 10314,40.6130465,-74.1221179
DORRIAN'S RED HAND RESTAURANT 1616 2 AVENUE New York NY 10028,40.7766412,-73.9521468
JOHN'S RESTAURANT 302 EAST 12 STREET New York NY 10003,40.7322535,-73.9874105
GRASSROOT TAVERN 20 ST MARKS PLACE New York NY 10003,40.728848,-73.988991
BUDDY'S WONDER BAR 17 HARRISON AVENUE New York NY 10302,40.6368094,-74.1373016
DON PEPPE 13558 LEFFERTS BOULEVARD New York NY 11420,40.6689548,-73.8216767
KILLARNEY ROSE 80 BEAVER STREET New York NY 10005,40.7052024,-74.0086833
VILLAGE YOKOCHO 6 STUYVESANT STREET New York NY 10003,40.729832,-73.9892798
CLARK'S RESTAURANT 80 CLARK STREET New York NY 11201,40.6974104,-73.9932232
DANGERFIELD'S NIGHT CLUB 1118 1 AVENUE New York NY 10065,40.7645239,-73.9624327
BARBETTA RESTAURANT 319321 323 W. 46TH ST. New York NY 10036,40.7603115,-73.9891304
MALAGA RESTAURANT 406 EAST 73 STREET New York NY 10021,40.7700703,-73.9580246
CAPITOL RESTAURANT 4933 BROADWAY New York NY 10034,40.8678204,-73.9215284
LA BONNE SOUPE BISTRO 48 WEST 55 STREET New York NY 10019,40.7686973,-73.9918181
MIMIS RESTAURANT & BAR 984 SECOND AVENUE New York NY 10022,40.7561212,-73.9672945
NANNI RESTAURANT 146 EAST 46 STREET New York NY 10017,40.7519846,-73.9697795
GRIFFIS FACULTY CLUB 521 EAST 68 STREET New York NY 10065,40.7645239,-73.9624327
YAFFA CAFE 97 ST MARKS PLACE New York NY 10009,40.7275162,-73.9845618
UNO CHICAGO GRILL 107-16 70 ROAD New York NY 11375,40.7209975,-73.8477874
LATOURETTE GOLF COURSE 1001 RICHMOND HILL ROAD New York NY 10306,40.5760984,-74.1468129
DYKER BEACH GOLF 86 7 AVENUE New York NY 11217,40.6830069,-73.9800645
BLARNEY ROCK 137 WEST 33 STREET New York NY 10001,40.7536854,-73.9991637
PARKSIDE RESTAURANT 10701 CORONA AVENUE New York NY 11368,40.743841,-73.856132
COOL ZONE 2300 SOUTHERN BOULEVARD New York NY 10460,40.8502883,-73.8786113
FASCATI'S PIZZERIA 80 HENRY STREET New York NY 11201,40.6984887,-73.9927131
SIDEWALK BAR & RESTAURANT 94 AVENUE A New York NY 10009,40.72548,-73.983622
COOGAN'S 4015 BROADWAY New York NY 10032,40.841736,-73.9394424
BRADY'S BAR 1583 2 AVENUE New York NY 10028,40.7766412,-73.9521468
IL CORTILE RESTAURANT 123 MULBERRY STREET New York NY 10013,40.7179289,-73.998254
BABY BO'S BURRITOS 627 2 AVENUE New York NY 10016,40.74727,-73.9800645
OCEAN DRAGON RESTAURANT 877 10 AVENUE New York NY 10019,40.7686973,-73.9918181
COBBLESTONE PUB 117-18 QUEENS BOULEVARD New York NY 11375,40.715875,-73.8333432
NEARY'S PUB 358 EAST 57 STREET New York NY 10022,40.7593941,-73.9697795
DENINO'S PIZZERIA TAVERN 524 PORT RICHMOND AVENUE New York NY 10302,40.6300274,-74.1401871
MICHAEL'S RESTAURANT 2929 AVENUE R New York NY 11229,40.6074509,-73.9428077
LITTLE BROWN JUG 12402 JAMAICA AVENUE New York NY 11418,40.70061,-73.826286
LA FUSTA RESTAURANT 80-32 BAXTER AVENUE New York NY 11373,40.7447152,-73.8845544
SPRING ST. NATURAL RESTAURANT 62 SPRING STREET New York NY 10012,40.722304,-73.997387
PIZZA WAGON 8606 5 AVENUE New York NY 11209,40.6212119,-74.0329499
RUSSIAN TURKISH BATHS 268 EAST 10 STREET New York NY 10009,40.7275043,-73.9800645
